"address";"volume";"share_volume";"trades";"pnl";"pnl_percentage";"pbt_user_can_claim"
"0x64310c79be3502dd17e88d9ca7df781700a66f1f";"1935327";"17312300";"6187";"567890";"3.801628737739966500000000000000";"3332405.279168910043615000"
"0x0d18e30e252008d83f51dae00d36873ddd9e24a6";"3884892";"41575089";"15367";"408288";"2.733204307303131600000000000000";"2396134.266532807252396000"
"0x674591467b6bbe47cd57c0f710ec8d53697d8534";"774418";"9506782";"3066";"360084";"2.410512040008378600000000000000";"2113355.805779742250966000"
"0x6c3aae17140c5e3cde62380daaa323e38575c459";"1544072";"23769864";"3585";"358966";"2.403027807271769000000000000000";"2106797.297790323892390000"
"0xab8f0996d119c856e77f337eec7c66f69c09646f";"394032";"822462";"36";"303094";"2.029003610974937600000000000000";"1779036.154333447568256000"
"0x4f70929ba287ac85dc2431c85382ccd9e6b0d185";"2246982";"8604188";"11248";"268250";"1.795747255452193200000000000000";"1574631.277425311423092000"
"0x903221b1098263779ae19486028c844e8c338717";"2158497";"14192804";"16138";"233449";"1.562778755034703000000000000000";"1370478.650824460585930000"
"0xf1bb700a67e3e8a45dc8160a92f4e0405f41bf09";"174583";"1370303";"2224";"222534";"1.489710418433544800000000000000";"1306448.136777499643688000"
"0x4ab9b54427ec4b7f3646b1a0ef1bed73bc708ebe";"1126995";"3103200";"991";"214242";"1.434201243252893900000000000000";"1257804.891474943453509000"
"0xc2e885f5328a9d831d6ce43489a603f82a7ec0f8";"2395248";"3113678";"114";"202261";"1.353996777763340400000000000000";"1187520.916321792825924000"
"0x908c3ee8ec6eeca18c37fced0c548ebcab7dd502";"200751";"2007488";"124";"195005";"1.305422902327884300000000000000";"1144955.143538948290933000"
"0x3d8a89a20aa73fba0f30d080e8120de9f9555724";"1338032";"13333062";"1731";"187162";"1.252919469990469300000000000000";"1098945.860747348152283000"
"0x32c792655c3d86746006445898a7b96ddeb79544";"441397";"654876";"52";"183658";"1.229462626064637000000000000000";"1078390.393846702049470000"
"0x7a01bdcb19254cebce340f514d363b21fdbfb975";"2071177";"7236923";"8949";"159534";"1.067969217712246800000000000000";"936872.105173418993308000"
"0xae95a2fd8df6b5e621d583157d47412a6b066579";"2507812";"14835341";"13945";"152670";"1.022019509747945400000000000000";"896605.916587222033474000"
"0x560bec8a0e62a8f1d4ae80c7b76786f2b5fcaf09";"2977207";"13091963";"11911";"146276";"0.979216125027120300000000000000";"859096.882522515790093000"
"0x15ae79d7cd60b2a7f06ae46eb4c7a0eb16096ffd";"793201";"4766009";"5159";"143650";"0.961636880692292900000000000000";"843692.014919463191199000"
"0x84898b583d56054b502c6564f3edfad43b54e211";"632728";"4541474";"3869";"142814";"0.956040441901769000000000000000";"838787.799642939192390000"
"0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4";"1644163";"14657053";"35205";"131815";"0.882409783699649100000000000000";"774264.517553839502821000"
"0xb14f6b5484e69217ffbd24180ddab2d3a181a7a4";"169520";"3763010";"899";"126127";"0.844332578148811800000000000000";"740897.081557585268458000"
"0xfc12bd975d6cc359b43d13967ee3c06c2f0223ef";"503436";"16992786";"394";"124920";"0.836252552287373600000000000000";"733816.474094948359416000"
"0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac";"850019";"3337809";"9455";"124235";"0.831666953517626200000000000000";"729798.068037031015322000"
"0xa48ee028dee3e4c691381a9bae7f16e710cd7154";"1962175";"11666754";"15252";"122392";"0.819329349820334900000000000000";"718986.502541057676219000"
"0xe345d9287b8f96ec778d1616aa85d35f499e07c3";"2883646";"3560698";"659";"122263";"0.818465784504572200000000000000";"718229.751619201664582000"
"0x70de7f8d3a1747250f438db4ee5b64201331766d";"60000";"180027";"1";"120027";"0.803497319031352800000000000000";"705112.735640364772168000"
"0x1ff2f3c12db9618337fa32079b89b2f550174702";"1312077";"4911865";"4174";"114048";"0.763472070791469600000000000000";"670038.210355272725176000"
"0x647683f0e175a692e63f9d6934498144805bdb34";"812613";"8904479";"8303";"108574";"0.726827446462130300000000000000";"637926.159609229403193000"
"0x57ea53b3cf624d1030b2d5f62ca93f249adc95ba";"136686";"3494952856";"61656";"106153";"0.710620534605840300000000000000";"623723.880680443913293000"
"0xc83aa25fa5829c789df2ac5976b4a26d49c648ff";"1095706";"3366765";"23700";"105760";"0.707989672829912200000000000000";"621418.430197580359982000"
"0x7789806c754eb0af4c3abeb026c218b4ba78f823";"556008";"4156146";"2026";"104223";"0.697700526393267300000000000000";"612401.948283684067663000"
"0xbe91eb0ac1bbc651945a933d3b2aea65913d08a7";"158730";"620085";"1048";"102383";"0.685383005610296000000000000000";"601607.981646358487760000"
"0x6bdb0ef442205c4a5c39a67cd24c02fdc894b2c8";"501501";"616180";"147";"101545";"0.679773178210225400000000000000";"596692.033797402620274000"
"0x01014aa3d957f1cdc6744aebe0cb1618835627c8";"1218145";"1381618";"357";"100441";"0.672382665740442700000000000000";"590215.653815007342437000"
"0x687349b551df31c4a330bbaf1519458cb521d9e5";"524984";"2119402";"4707";"99169";"0.663867510068736500000000000000";"582753.737748334482315000"
"0x932e564acc849074725204b8925ecdd41ec06903";"1150313";"6044843";"17108";"99020";"0.662870058657506700000000000000";"581879.661102159696277000"
"0xcf5cea15e49b33b70a0bef2d42a46425c54c80a1";"637703";"2391659";"2093";"98348";"0.658371485849812900000000000000";"577937.516765049542399000"
"0xfd2f63d44c28cc6b38bdb7b014a108e926e462b4";"133805";"242286";"39";"94749";"0.634278682970512000000000000000";"556824.752673889370720000"
"0xef1d0c6244e7a8c9640b08758a8425b5d2a5bdcb";"1158309";"5904217";"9978";"91686";"0.613774027449729000000000000000";"538856.317994472019990000"
"0xafd2855a086ad4fba71a7c3f53a4e236f9bc1044";"846134";"1260425";"110";"90288";"0.604415389376580100000000000000";"530655.249864590907431000"
"0xb6e4f8684d2ed798c110e37bd3860c77be6f1b97";"923189";"1165058";"203";"86278";"0.577571227235430900000000000000";"507131.442138680451979000"
"0x74cb5938bcd5e3d930995dfcec387b93230deacd";"534538";"3732449";"1764";"84002";"0.562334989571277300000000000000";"493779.774711206010763000"
"0xb7d8108f429cc76efe74d0adb9487c49892439c3";"630044";"767830";"50";"80853";"0.541254623839985800000000000000";"475306.839417217956398000"
"0x88186ddbea78ab3d65b7d08f0658b9c22037f265";"1338359";"7519980";"26445";"80067";"0.535992900288129600000000000000";"470695.938451490849776000"
"0xf4c1d36035a6aa1e175d7fa443d47e2f53060cfa";"539430";"645404";"67";"79990";"0.535477438820581300000000000000";"470244.234412863599003000"
